trial,auc,ks,composite,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample,xgb_min_child_weight,xgb_gamma,xgb_lambda,xgb_alpha,lr_c,w_xgb
0,0.7656933544762488,0.39646871456374144,0.581081034519995,5,0.17254716573280354,0.892797576724562,0.8394633936788146,4,0.7799726016810132,0.0017073967431528124,2.9154431891537547,0.10129197956845731,0.7080725777960455
1,0.7616422685974049,0.3979380536628386,0.5797901611301217,3,0.18276027831785724,0.9329770563201687,0.6849356442713105,4,0.9170225492671691,0.016480446427978974,0.12561043700013558,0.01444525102276306,0.2912291401980419
2,0.7545220033491127,0.3873948615323849,0.5709584324407488,7,0.01518747922672247,0.7168578594140873,0.7465447373174767,10,3.925879806965068,0.006290644294586149,0.11400863701127326,0.09163741808778776,0.046450412719997725
3,0.7653012665042652,0.40047315511031345,0.5828872108072893,7,0.016666983286066417,0.6260206371941118,0.9795542149013333,20,4.041986740582305,0.01653693718282442,0.002458603276328005,0.2637333993381525,0.4401524937396013
4,0.7585217348323072,0.3926553640239582,0.5755885494281328,3,0.04407984038169244,0.6137554084460873,0.9637281608315128,6,3.31261142176991,0.017654048052495083,0.12030178871154672,0.05414413211338523,0.18485445552552704
5,0.7595828159486515,0.3898154091686243,0.5746991125586379,10,0.10196967939171485,0.9757995766256756,0.9579309401710595,12,4.609371175115584,0.002259279742015696,0.006080390190296602,0.00016832027985721928,0.32533033076326434
6,0.7651452551232495,0.4010369179436244,0.5830910865334369,6,0.022544116997360492,0.9314950036607718,0.7427013306774357,6,2.7134804157912424,0.0036618192203924276,1.6172900811143154,0.0002359137306347715,0.9868869366005173
7,0.7570562197598533,0.3900042615353684,0.5735302406476108,9,0.018135730867783396,0.602208846849441,0.9261845713819337,15,3.6450358402049368,1.2164139351417065,0.0019777828512462727,0.006199100007802264,0.11586905952512971
8,0.7621271295709364,0.39470830413825364,0.578417716854595,9,0.06470376604234768,0.7323592099410596,0.6254233401144095,7,1.6259166101337352,0.8287522363768158,0.35500125258511606,2.7293781650374753,0.4722149251619493
9,0.7557580823892387,0.38537667720027363,0.5705673797947561,3,0.08471354625326555,0.9043140194467589,0.8245108790277985,16,2.4689779818219537,0.12329098365270515,0.05130551760589835,0.0001339971723117974,0.10789142699330445
10,0.7687637138946759,0.40219449032905336,0.5854791021118646,5,0.029731759670794167,0.8311408946673922,0.7387403565626488,1,2.519439225888092,6.903717055434688,7.795612091139283,0.0011252256353752016,0.9923626654603367
11,0.768846244961692,0.40212183938909973,0.5854840421753958,5,0.03245555852628037,0.8229835820908823,0.744572885141946,1,2.1648708226492825,8.59641441473938,9.901967052454854,0.0013714282785300712,0.9725091533442928
12,0.7683744925511079,0.40066149538033086,0.5845179939657194,5,0.033936182868905346,0.8297259513671728,0.7520835773796054,1,2.0643203298942394,9.292827667479232,9.639757903159508,0.0018825438283673935,0.9957079555169447
13,0.7651304766796717,0.3964044686896268,0.5807674726846492,5,0.010370774656193509,0.8084870027146037,0.668970949365751,1,1.5501861355280075,8.843841951617184,7.2669435111440635,0.000843914981900611,0.7644900634209169
14,0.7693248049189785,0.4016345348235793,0.5854796698712789,4,0.03099985174596934,0.7344870240000636,0.8779129465726592,1,2.698171318366703,1.5833990877658748,0.8136921910410337,0.0022927351228366985,0.7999595353440213
15,0.7683639222067183,0.4033521851723952,0.5858580536895568,4,0.026865227527466975,0.722497702919922,0.8634777681146086,4,0.10456783241701961,1.6513965644875357,0.7113010110590198,0.005629415368588462,0.7949416090579731
16,0.7682335267945706,0.40327572690460467,0.5857546268495877,4,0.053651857319901866,0.7147411326759615,0.8863459263999709,9,0.11847705752916093,0.9008499028279792,0.5867688618948577,0.9536460582143024,0.689529049929205
17,0.7639825729030918,0.3958871619354496,0.5799348674192707,4,0.011870174341811776,0.7573058371421819,0.8676754788235348,4,0.0019513516366543165,0.20785280561920427,0.024912417260024747,0.00583931496593246,0.8157298373095427
18,0.7648030464856918,0.3989115272750509,0.5818572868803713,8,0.024463885165087063,0.6799425320763572,0.9089992645140041,13,1.0406422042832237,2.3072943562368926,0.6136438500377543,0.018548238806448562,0.5919678019235195
19,0.7656538395342681,0.396237447228989,0.5809456433816286,6,0.04231922762185779,0.6589045438667185,0.7934217502028518,20,3.1992128599051526,0.34065705262085144,2.070322434737378,9.315666345772176,0.8690193908638018
20,0.7667814486949216,0.40269138000939136,0.5847364143521565,4,0.10757466953008277,0.7707061221366314,0.7907771162030808,8,4.576429256575462,2.5325581492700646,0.01311125329316066,0.004592855844753478,0.6068511103038787
21,0.7678648394164859,0.40036186313257577,0.5841133512745308,4,0.03239617983586137,0.6752813330459274,0.860254843715701,3,0.4016549763816619,0.4220980014900354,0.2822582323823257,0.0005889979168238069,0.8733778499223122
22,0.7653074339300596,0.400381300543112,0.5828443672365858,3,0.024540104718250588,0.7639833122856368,0.9270539554931716,17,1.4214682914959271,0.07062706686916534,1.0615564160220037,0.0019822836002925163,0.5899499974430668
23,0.7633605312357853,0.3974981069119922,0.5804293190738887,4,0.020068679525148757,0.701752244588141,0.8243157949489044,11,2.0639212315604354,2.520954823556964,3.5143552399689413,0.016626324304945532,0.37596659714714736
24,0.7674450926549966,0.40177696450880235,0.5846110285818995,6,0.014164354944389914,0.8627115766996574,0.8869236281594457,6,0.6419290524338446,3.448443018417255,0.2730603213225622,0.4518551974842184,0.8815860213790113
25,0.7679589872864194,0.4047828832337082,0.5863709352600638,5,0.03658084188848723,0.7959005020300775,0.7906039356556754,3,1.2120060736879972,0.44547047076709984,0.9009164563119665,0.004195238229842503,0.6633076644963843
26,0.7647968400960158,0.3979113467052921,0.5813540934006539,7,0.062082512822047624,0.7784898442412296,0.6987759296898687,3,2.995197872145816,0.06736534467064695,0.8292279271676471,0.003627951576533521,0.6685489267550605
27,0.7668075489291724,0.40316891020695605,0.5849882295680642,6,0.0422685802639764,0.8591898529880719,0.7774659315179556,3,1.2723530293274286,0.03672298865907211,4.086308072328681,0.009691615639398436,0.5411730171313069
28,0.761974842023726,0.39398317517337256,0.5779790085985492,8,0.054340154887430596,0.743537033190697,0.7078571406779994,5,1.8523243651011148,0.3881809822355012,0.05719922326638024,0.00035009616381358264,0.7586678124918608
29,0.7660965304556169,0.4006894937122315,0.5833930120839241,5,0.14963681431615133,0.7939415694972615,0.8437820848397452,2,4.992483437747102,0.15581497291124982,0.0010579432498084597,0.046782174460419254,0.652706848230862
30,0.768047179248772,0.4002962034261943,0.5841716913374831,5,0.03734279715576694,0.857753806742119,0.637954503726843,5,0.6001806622408107,0.6429110815231481,1.6844235703922563,0.21399161724382335,0.7403294141261865
31,0.7664627130127564,0.4036652432604174,0.585063978136587,6,0.03007806210361215,0.8178957511545081,0.821824246404677,2,2.2056469530778005,1.4335229666442504,0.010909808492855187,0.00253673842920406,0.5094930136950395
32,0.7626080718912556,0.39835530116965123,0.5804816865304534,10,0.07510333693616576,0.9806923675735193,0.7783876623057182,4,1.080895991382106,0.24283590513571182,0.20901724749612186,0.01986161337470235,0.41900699970028166
33,0.767969796980366,0.40088572695136127,0.5844277619658637,4,0.05161041927151021,0.886598638431658,0.7195495437570186,8,1.8068181037374909,4.635872448471071,0.04784864851418653,0.001201530486299248,0.817345187049672
34,0.7606509662263302,0.39381301433714977,0.57723199028174,7,0.17026524626557626,0.7952090614637224,0.7643173439000324,18,0.7280388126341664,0.001130565070727281,0.5001930846086982,0.00047367054330586745,0.22894653439207802
35,0.7665525024942451,0.403617729590218,0.5850851160422316,5,0.027196483927861313,0.6435146090531932,0.8099816544180354,2,0.29530309889408646,0.0068499053323881,0.16767938542952845,0.041233425803196555,0.5592547052757858
36,0.7661374313985206,0.39764281876741,0.5818901250829653,8,0.039518894142088534,0.8398591637198694,0.6750780940601064,14,3.711640681706167,0.03658360719431877,1.0591318935777998,0.10815764217656003,0.6359320260536461
37,0.7672836318968577,0.40151550573225486,0.5843995688145562,3,0.12090403807148034,0.9989784048089947,0.8436473264896195,5,2.947381421772958,0.4962055913726749,0.07962484149742576,0.008197934341772175,0.7063753036288223
38,0.763628997944711,0.4000086611142023,0.5818188295294566,9,0.021003433858102424,0.9371961573819034,0.6508655166729551,10,2.329778267476837,1.5028411380946243,4.672189095535249,0.0033118977408708255,0.925606052774374
39,0.7531036679707321,0.38439008945884506,0.5687468787147886,6,0.050214948026267726,0.7380640022169531,0.608603219978707,7,1.242009016832466,0.007103385899289018,2.385522047104454,0.07533030901448275,0.009283177793250053
40,0.7651874418742384,0.3973422402539643,0.5812648410641014,7,0.01564248522394713,0.7879515006376228,0.9977207706805667,4,0.879196601640186,0.24354118642349384,0.005421142755927667,0.00010411756362698671,0.818489531372422
41,0.7625216277372961,0.39735830450562737,0.5799399661214617,5,0.030411897557983715,0.8366675566391731,0.7318557401928256,1,2.5926581050963975,0.7171508897141355,0.10306010363713013,0.0011897398190191192,0.2800342327942645
